,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,sechura,64,PE,1578449155,85,-5.56,-80.82,295.21,4.83
1,cidreira,0,BR,1578449175,71,-30.17,-50.22,296.81,4.15
2,chuy,0,UY,1578448971,62,-33.69,-53.46,291.44,3.77
3,bredasdorp,0,ZA,1578449159,94,-34.53,20.04,293.15,1.5
4,banda aceh,57,ID,1578449732,63,5.56,95.32,301.21,3.95
5,rikitea,20,PF,1578449148,79,-23.12,-134.97,298.3,8.88
6,luanda,75,AO,1578449663,88,-8.83,13.24,299.15,1.0
7,hermanus,0,ZA,1578449146,96,-34.42,19.24,291.48,3.38
8,narsaq,100,GL,1578449732,78,60.91,-46.05,262.15,2.1
9,upernavik,99,GL,1578449143,71,72.79,-56.15,246.28,3.0
10,longyearbyen,40,NO,1578449152,68,78.22,15.63,272.15,15.4
11,roura,75,GF,1578449733,83,4.73,-52.33,300.15,2.6
12,mackay,90,CA,1578449733,84,53.65,-115.58,262.15,4.6
13,byron bay,0,AU,1578449670,54,-28.65,153.62,305.37,7.2
14,xai-xai,0,MZ,1578449141,96,-25.04,33.64,294.56,0.27
15,senekal,100,ZA,1578449733,78,-28.32,27.62,290.93,5.36
16,albany,90,US,1578449137,84,42.65,-73.75,273.15,1.5
17,airai,67,TL,1578449152,49,-8.93,125.41,301.93,1.85
18,bethel,1,US,1578449175,68,60.79,-161.76,246.15,6.2
19,maxixe,0,MZ,1578449734,79,-23.86,35.35,299.61,4.18
20,ahipara,46,NZ,1578449183,56,-35.17,173.16,298.15,1.34
21,gazanjyk,0,TM,1578449735,62,39.24,55.52,275.37,3.27
22,nikolskoye,90,RU,1578449692,86,59.7,30.79,276.48,4.0
23,saint-philippe,90,CA,1578448857,80,45.36,-73.48,272.15,2.01
24,gibara,39,CU,1578449735,94,21.11,-76.13,296.15,3.6
25,tottori,40,JP,1578449735,45,35.5,134.23,290.15,14.4
26,clyde river,75,CA,1578449169,46,70.47,-68.59,246.15,3.6
27,zharkent,100,KZ,1578449736,78,44.17,80.0,262.36,1.02
28,mataura,100,NZ,1578449137,66,-46.19,168.86,289.82,5.81
29,kruisfontein,84,ZA,1578449185,91,-34.0,24.73,291.53,3.32
30,iquitos,0,PE,1578449737,88,-3.75,-73.25,298.15,0.5
31,makakilo city,90,US,1578449737,73,21.35,-158.09,299.15,6.2
32,hilo,75,US,1578449153,57,19.71,-155.08,300.15,6.2
33,benguela,100,AO,1578449240,84,-12.58,13.4,298.43,0.84
34,busselton,0,AU,1578449141,23,-33.64,115.35,302.04,5.96
35,paamiut,100,GL,1578449738,61,61.99,-49.67,264.69,6.33
36,komsomolskiy,96,RU,1578449738,97,67.55,63.78,255.98,3.38
37,ushuaia,90,AR,1578449148,87,-54.81,-68.31,282.15,7.7
38,port alfred,100,ZA,1578449163,98,-33.59,26.89,293.71,0.89
39,poronaysk,0,RU,1578449170,69,49.22,143.1,266.58,1.56
40,castro,75,CL,1578449146,76,-42.48,-73.76,285.15,2.6
41,constitucion,5,MX,1578449204,21,23.99,-104.67,289.15,2.1
42,mehamn,100,NO,1578449214,86,71.03,27.85,273.02,7.92
43,punta arenas,100,CL,1578449154,66,-53.16,-70.91,285.15,4.6
44,ixtapa,75,MX,1578449143,69,20.71,-105.21,298.15,2.6
45,arlit,98,NE,1578449196,15,18.74,7.39,289.65,5.51
46,bluff,2,AU,1578449740,25,-23.58,149.07,306.42,5.67
47,margate,20,AU,1578449168,38,-43.03,147.26,296.48,5.7
48,souillac,90,FR,1578448857,100,45.6,-0.6,284.15,2.1
49,havelock,1,US,1578449741,46,34.88,-76.9,283.15,9.3
50,eyl,84,SO,1578449741,74,7.98,49.82,298.68,8.68
51,grand gaube,75,MU,1578449741,88,-20.01,57.66,299.15,2.22
52,new norfolk,20,AU,1578448870,38,-42.78,147.06,297.04,5.7
53,avarua,100,CK,1578449695,74,-21.21,-159.78,301.15,3.6
54,kapaa,75,US,1578449148,61,22.08,-159.32,300.15,8.2
55,sambava,56,MG,1578449742,95,-14.27,50.17,295.84,1.23
56,saskylakh,92,RU,1578449182,96,71.97,114.09,252.87,3.45
57,moa,56,CU,1578449742,98,20.66,-74.95,292.2,0.9
58,tuktoyaktuk,40,CA,1578449150,66,69.44,-133.03,237.15,6.2
59,pimampiro,1,EC,1578449743,89,0.39,-77.94,284.42,1.13
60,adrar,0,DZ,1578449158,49,27.87,-0.29,281.15,7.2
61,codrington,0,AU,1578449190,40,-28.95,153.24,304.15,2.6
62,nacala,100,MZ,1578449743,96,-14.56,40.69,297.46,1.66
63,necochea,0,AR,1578449744,32,-38.55,-58.74,292.59,1.79
64,guerrero negro,100,MX,1578449744,37,27.97,-114.04,290.82,3.23
65,iqaluit,90,CA,1578449178,62,63.75,-68.52,247.15,4.1
66,katsuura,20,JP,1578449154,59,33.93,134.5,291.15,8.2
67,puerto ayora,3,EC,1578449145,83,-0.74,-90.35,298.15,1.79
68,talnakh,75,RU,1578449680,84,69.49,88.39,257.15,9.0
69,meadow lake,92,CA,1578449745,88,54.13,-108.44,252.02,1.96
70,kondinskoye,63,RU,1578449745,96,59.65,67.41,254.58,2.99
71,east london,100,ZA,1578449745,90,-33.02,27.91,296.79,7.85
72,hanyang,79,CN,1578449746,76,32.14,105.51,285.37,1.99
73,petrozavodsk,100,RU,1578449746,93,61.79,34.39,276.15,4.0
